type_transaction,prix_vente,description,localisation,commune,ville,marque,modele,annee
Vente,12500000,mercedes-benz gla-class 2016,"Abidjan, Côte d'Ivoire",,Abidjan,Mercedes,Benz,2016
Vente,8500000,hyundai ix35 2013,"Cocody, Abidjan, Côte d'Ivoire",Cocody,Abidjan,Hyundai,Ix35,2013
Vente,5000000,renault duster 2017 ,"Yopougon, Abidjan, Côte d'Ivoire",Yopougon,Abidjan,Renault,Duster,2017
Vente,9500000,volkswagen tiguan 2018,"Cocody, Abidjan, Côte d'Ivoire",Cocody,Abidjan,Volkswagen,Tiguan,2018
Vente,14700000,toyota land cruiser 2013,"Cocody, Abidjan, Côte d'Ivoire",Cocody,Abidjan,Toyota,Land cruiser,2013
Vente,3800000,opel zafira 1999,"Yopougon, Abidjan, Côte d'Ivoire",Yopougon,Abidjan,Opel,Zafira,1999
Vente,5800000,toyota land cruiser 2005,"Yopougon, Abidjan, Côte d'Ivoire",Yopougon,Abidjan,Toyota,Land cruiser,2005
Vente,16500000,hyundai santa fe 2019,"Yopougon, Abidjan, Côte d'Ivoire",Yopougon,Abidjan,Hyundai,Santa fe,2019
Vente,4300000,nissan qashqai 2008,"Cocody, Abidjan, Côte d'Ivoire",Cocody,Abidjan,Nissan,Qashqai,2008
Vente,8500000,hyundai tucson 2012,"Abidjan, Côte d'Ivoire",,Abidjan,Hyundai,Tucson,2012
Vente,4300000,nissan rogue 2008,"Yopougon, Abidjan, Côte d'Ivoire",Yopougon,Abidjan,Nissan,Rogue,2008
Vente,8500000,kia sportage 2013 ,"Cocody, Abidjan, Côte d'Ivoire",Cocody,Abidjan,Kia,Sportage,2013
Vente,11500000,bmw x2 sdrive 2019,"Abidjan, Côte d'Ivoire",,Abidjan,Bmw,X2 sdrive,2019
Vente,7000000,kia optima 2016,"Cocody, Abidjan, Côte d'Ivoire",Cocody,Abidjan,Kia,Optima,2016
Vente,18800000,mitsubishi montero 2018,"Cocody, Abidjan, Côte d'Ivoire",Cocody,Abidjan,Mitsubishi,Montero,2018
Vente,11800000,kia sportage 2018,"Cocody, Abidjan, Côte d'Ivoire",Cocody,Abidjan,Kia,Sportage,2018
Vente,7400000,audi 11cv  2012,"Koumassi, Abidjan, Côte d'Ivoire",Koumassi,Abidjan,Audi,11cv,2012
Vente,7200000,ford escape 2018,"Cocody, Abidjan, Côte d'Ivoire",Cocody,Abidjan,Ford,Escape,2018
Vente,8500000,hyundai tucson 2016,"Cocody, Abidjan, Côte d'Ivoire",Cocody,Abidjan,Hyundai,Tucson,2016
Vente,5500000,toyota land cruiser prado 2003,"Cocody, Abidjan, Côte d'Ivoire",Cocody,Abidjan,Toyota,Land cruiser,2003
Vente,9500000,hyundai elantra 2019,"Cocody, Abidjan, Côte d'Ivoire",Cocody,Abidjan,Hyundai,Elantra,2019
Vente,6800000,toyota corolla 2018,"Abidjan, Côte d'Ivoire",,Abidjan,Toyota,Corolla,2018
Vente,4500000,toyota camry 2018 ,"Cocody, Abidjan, Côte d'Ivoire",Cocody,Abidjan,Toyota,Camry,2018
Vente,5850000,hyundai elantra 2012 ,"Cocody, Abidjan, Côte d'Ivoire",Cocody,Abidjan,Hyundai,Elantra,2012
Vente,7300000,mini cooper countryman 2016,"Cocody, Abidjan, Côte d'Ivoire",Cocody,Abidjan,Mini,Cooper countryman,2016
Vente,2800000,hyundai getz 2007,"Yopougon, Abidjan, Côte d'Ivoire",Yopougon,Abidjan,Hyundai,Getz,2007
Vente,7000000,kia  sorento 2014,"Cocody, Abidjan, Côte d'Ivoire",Cocody,Abidjan,Kia,Sorento,2014
Vente,4850000,honda cr-v 2  2003,"Cocody, Abidjan, Côte d'Ivoire",Cocody,Abidjan,Honda,Cr-v 2,2003
Vente,4850000,honda cr-v2 2003,"Cocody, Abidjan, Côte d'Ivoire",Cocody,Abidjan,Honda,Cr-v2,2003
Vente,4800000,toyota corolla 2004,"Cocody, Abidjan, Côte d'Ivoire",Cocody,Abidjan,Toyota,Corolla,2004
Vente,5850000,volkswagen touareg 2006 boite auto,"Cocody, Abidjan, Côte d'Ivoire",Cocody,Abidjan,Volkswagen,Touareg,2006
Vente,3000000,ford focus 2005,"Cocody, Abidjan, Côte d'Ivoire",Cocody,Abidjan,Ford,Focus,2005
Vente,5850000,volkswagen touareg 2006,"Cocody, Abidjan, Côte d'Ivoire",Cocody,Abidjan,Volkswagen,Touareg,2006
Vente,8700000,hyundai santa fe 2015,"Cocody, Abidjan, Côte d'Ivoire",Cocody,Abidjan,Hyundai,Santa fe,2015
Vente,3000000,hyundai elantra 2008,"Cocody, Abidjan, Côte d'Ivoire",Cocody,Abidjan,Hyundai,Elantra,2008
Vente,8300000,mazda 6 2017,"Cocody, Abidjan, Côte d'Ivoire",Cocody,Abidjan,Mazda,Mazda,2017
Vente,18500000,toyota 4 runner 2017,"Cocody, Abidjan, Côte d'Ivoire",Cocody,Abidjan,Toyota,4 runner,2017
Vente,1900000,mitsubishi colt 2001,"Cocody, Abidjan, Côte d'Ivoire",Cocody,Abidjan,Mitsubishi,Colt,2001
Vente,9950000,mercedes-benz c300 2014,"Abidjan, Côte d'Ivoire",,Abidjan,Mercedes,Benz,2014
Vente,3800000,mazda bt 50 double cabine 2015,"Cocody, Abidjan, Côte d'Ivoire",Cocody,Abidjan,Mazda,Mazda,2015
Vente,4800000,kia rio 2012,"Cocody, Abidjan, Côte d'Ivoire",Cocody,Abidjan,Kia,Rio,2012
Vente,8900000,ford escape 2019,"Cocody, Abidjan, Côte d'Ivoire",Cocody,Abidjan,Ford,Escape,2019
Vente,3650000,peugeot 308 2014,"Cocody, Abidjan, Côte d'Ivoire",Cocody,Abidjan,Peugeot,308,2014
Vente,25000000,toyota land cruiser azawad double cabine pick up  2014,"Cocody, Abidjan, Côte d'Ivoire",Cocody,Abidjan,Toyota,Land cruiser,2014
Vente,5800000,ford ecosport 2015,"Cocody, Abidjan, Côte d'Ivoire",Cocody,Abidjan,Ford,Ecosport,2015
Vente,13500000,hyundai santa fe 2018,"Cocody, Abidjan, Côte d'Ivoire",Cocody,Abidjan,Hyundai,Santa fe,2018
Vente,3650000,peugeot 308 2014,"Cocody, Abidjan, Côte d'Ivoire",Cocody,Abidjan,Peugeot,308,2014
Vente,7500000,hyundai elantra 2016,"Cocody, Abidjan, Côte d'Ivoire",Cocody,Abidjan,Hyundai,Elantra,2016
Vente,39000000,mercedes-benz gle 43 amg 2018,"Abidjan, Côte d'Ivoire",,Abidjan,Mercedes,Benz,2018
Vente,6900000,hyundai accent 2017,"Cocody, Abidjan, Côte d'Ivoire",Cocody,Abidjan,Hyundai,Accent,2017
Vente,15000000,mercedes-benz gle 350 d  2018,"Cocody, Abidjan, Côte d'Ivoire",Cocody,Abidjan,Mercedes,Benz,2018
Vente,17000000,honda crv5 2019,"Cocody, Abidjan, Côte d'Ivoire",Cocody,Abidjan,Honda,Crv5,2019
Vente,2950000,toyota yaris 2011,"Cocody, Abidjan, Côte d'Ivoire",Cocody,Abidjan,Toyota,Yaris,2011
Vente,7800000,peugeot 508 2017,"Abidjan, Côte d'Ivoire",,Abidjan,Peugeot,508,2017
Vente,12800000,kia sportage 2019,"Cocody, Abidjan, Côte d'Ivoire",Cocody,Abidjan,Kia,Sportage,2019
Vente,9000000,ford explorer 2016,"Cocody, Abidjan, Côte d'Ivoire",Cocody,Abidjan,Ford,Explorer,2016
Vente,14500000,bmw x3 2017,"Cocody, Abidjan, Côte d'Ivoire",Cocody,Abidjan,Bmw,X3,2017
Vente,7800000,peugeot 208 2019,"Cocody, Abidjan, Côte d'Ivoire",Cocody,Abidjan,Peugeot,208,2019
