type_transaction,prix_location,devise_location,prix_vente,description,localisation
,,,5 800 000CFA,Ford Fusion 2016,"Cocody, Abidjan, Côte d'Ivoire"
,,,3 800 000CFA,Mercedes-benz c240 kompressor 2002,"Cocody, Abidjan, Côte d'Ivoire"
A partir de,690 518,CFA/mois *,13 800 000CFA,Hyundai Tucson 2021 ,"Cocody, Abidjan, Côte d'Ivoire"
A partir de,357 402,CFA/mois *,6 500 000CFA,Toyota starlet 2022,"Cocody, Abidjan, Côte d'Ivoire"
,,,12 800 000CFA,Mitsubishi Eclipse 2019 ,"Cocody, Abidjan, Côte d'Ivoire"
,,,1 500 000CFA,Mitsubishi carisma 2001,"Cocody, Abidjan, Côte d'Ivoire"
,,,8 800 000CFA,Suzuki Vitara 2019,"Cocody, Abidjan, Côte d'Ivoire"
,,,12 900 000CFA,Honda CR-V 2018,"Cocody, Abidjan, Côte d'Ivoire"
,,,3 000 000CFA,Toyota corolla eto'o  2001,"Cocody, Abidjan, Côte d'Ivoire"
A partir de,996 255,CFA/mois *,20 500 000CFA,Ford Ranger 2020 ,"Cocody, Abidjan, Côte d'Ivoire"
,,,3 300 000CFA,Ford Focus,"Cocody, Abidjan, Côte d'Ivoire"
,,,2 000 000CFA,Peugeot 407 ,"Cocody, Abidjan, Côte d'Ivoire"
,,,17 500 000CFA,Mitsubishi Pajero 2018,"Yopougon, Abidjan, Côte d'Ivoire"
A partir de,1 657 925,CFA/mois *,35 000 000CFA,Mitsubishi outlander 2023,"Abidjan, Côte d'Ivoire"
,,,35 000 000CFA,Mercedes benz glc 2018,"Abidjan, Côte d'Ivoire"
A partir de,1 566 660,CFA/mois *,33 000 000CFA,Toyota Prado 2020,"Abidjan, Côte d'Ivoire"
A partir de,882 174,CFA/mois *,18 000 000CFA,Mazda CX-9 2021 ,"Yopougon, Abidjan, Côte d'Ivoire"
,,,10 500 000CFA,Hyundai Santa Fe 2017,"Cocody, Abidjan, Côte d'Ivoire"
A partir de,850 232,CFA/mois *,17 300 000CFA,Hyundai Tucson 2020 ,"Abidjan, Côte d'Ivoire"
A partir de,1 041 888,CFA/mois *,21 500 000CFA,Toyota Rav4 XLE 2024,"Cocody, Abidjan, Côte d'Ivoire"
A partir de,1 361 314,CFA/mois *,28 500 000CFA,Hyundai Tucson 2023,"Abidjan, Côte d'Ivoire"
,,,3 300 000CFA,Mercedes-Benz C200 2004,"Cocody, Abidjan, Côte d'Ivoire"
,,,11 950 000CFA,Hyundai Tucson 2018,"Cocody, Abidjan, Côte d'Ivoire"
,,,6 800 000CFA,Kia Rio 2016,"Cocody, Abidjan, Côte d'Ivoire"
A partir de,357 402,CFA/mois *,6 500 000CFA,Kia Pegas 2022,"Cocody, Abidjan, Côte d'Ivoire"
A partir de,1 703 557,CFA/mois *,36 000 000CFA,Toyota 4Runner 2023,"Abidjan, Côte d'Ivoire"
,,,3 750 000CFA,Toyota Verso 2002,"Yopougon, Abidjan, Côte d'Ivoire"
,,,12 500 000CFA,Mercedes-Benz GLA-Class 2016,"Cocody, Abidjan, Côte d'Ivoire"
A partir de,8 274 623,CFA/mois *,180 000 000CFA,Mercedes-Benz G63 2022,"Abidjan, Côte d'Ivoire"
A partir de,11 468 892,CFA/mois *,250 000 000CFA,Mercedes Benz G63 AMG 2023,"Abidjan, Côte d'Ivoire"
A partir de,2 753 103,CFA/mois *,59 000 000CFA,Toyota Tundra 2024,"Abidjan, Côte d'Ivoire"
A partir de,4 167 707,CFA/mois *,90 000 000CFA,Mercedes Benz GLE 53 2022,"Abidjan, Côte d'Ivoire"
,,,13 500 000CFA,Hyundai Santa Fe 2018,"Yopougon, Abidjan, Côte d'Ivoire"
A partir de,7 361 975,CFA/mois *,160 000 000CFA,Land Rover Range Rover Vogue 2024,"Abidjan, Côte d'Ivoire"
,,,50 000 000CFA, Range Rover Sport SVR 2017,"Abidjan, Côte d'Ivoire"
A partir de,790 909,CFA/mois *,16 000 000CFA,Hyundai Creta 2023,"Abidjan, Côte d'Ivoire"
A partir de,1 420 637,CFA/mois *,29 800 000CFA,Mitsubishi eclipse 2024,"Abidjan, Côte d'Ivoire"
A partir de,1 192 475,CFA/mois *,24 800 000CFA,Ford Territory 2023,"Cocody, Abidjan, Côte d'Ivoire"
A partir de,1 064 704,CFA/mois *,22 000 000CFA,Toyota Highlander 2022,"Cocody, Abidjan, Côte d'Ivoire"
,,,7 800 000CFA,Hyundai Elantra 2018,"Abidjan, Côte d'Ivoire"
A partir de,836 542,CFA/mois *,17 000 000CFA,Mazda CX-5 2021,"Cocody, Abidjan, Côte d'Ivoire"
A partir de,644 886,CFA/mois *,12 800 000CFA,Hyundai Kona 2020,"Abidjan, Côte d'Ivoire"
A partir de,827 415,CFA/mois *,16 800 000CFA,Mitsubishi L 200 2021,"Abidjan, Côte d'Ivoire"
,,,7 300 000CFA,Hyundai Sonata 2016,"Abidjan, Côte d'Ivoire"
,,,8 800 000CFA,Mercedes Benz C300 2013,"Abidjan, Côte d'Ivoire"
A partir de,768 093,CFA/mois *,15 500 000CFA,Mitsubishi Eclipse 2021,"Cocody, Abidjan, Côte d'Ivoire"
A partir de,3 620 118,CFA/mois *,78 000 000CFA,Toyota Land Cruiser 2022,"Abidjan, Côte d'Ivoire"
A partir de,904 990,CFA/mois *,18 500 000CFA,Peugeot 508 2020,"Cocody, Abidjan, Côte d'Ivoire"
A partir de,644 886,CFA/mois *,12 800 000CFA,Kia Stonic  2020,"Cocody, Abidjan, Côte d'Ivoire"
,,,10 500 000CFA,Mazda BT-50 2017,"Yopougon, Abidjan, Côte d'Ivoire"
A partir de,644 886,CFA/mois *,12 800 000CFA,Kia Sportage 2020,"Yopougon, Abidjan, Côte d'Ivoire"
,,,39 500 000CFA,Range rover velar p380 2019,"Abidjan, Côte d'Ivoire"
A partir de,1 653 362,CFA/mois *,34 900 000CFA,Mercedes-Benz GLC 300 2022,"Cocody, Abidjan, Côte d'Ivoire"
A partir de,361 965,CFA/mois *,6 600 000CFA,Suzuki Dzire 2022,"Cocody, Abidjan, Côte d'Ivoire"
,,,7 800 000CFA,Mazda 3 2018,"Abidjan, Côte d'Ivoire"
A partir de,2 570 573,CFA/mois *,55 000 000CFA, Range Rover velar P400 ANNÉE 2024,"Abidjan, Côte d'Ivoire"
A partir de,7 818 299,CFA/mois *,170 000 000CFA,Land Rover Range Rover sport 2024,"Abidjan, Côte d'Ivoire"
A partir de,2 342 411,CFA/mois *,50 000 000CFA,Land Rover Range Rover Sport 2021,"Abidjan, Côte d'Ivoire"
,,,6 800 000CFA,Renault Oroch  2018,"Yopougon, Abidjan, Côte d'Ivoire"
,,,7 900 000CFA,Hyundai IX35 2013,"Cocody, Abidjan, Côte d'Ivoire"
,,,12 500 000CFA,Mercedes-benz ML350  2014,"Cocody, Abidjan, Côte d'Ivoire"
A partir de,2 707 470,CFA/mois *,58 000 000CFA, Range Rover velar 2023,"Abidjan, Côte d'Ivoire"
,,,35 000 000CFA,Mercedes benz gle63s 2017,"Abidjan, Côte d'Ivoire"
A partir de,768 093,CFA/mois *,15 500 000CFA,Kia Sportage full options  2020,"Cocody, Abidjan, Côte d'Ivoire"
,,,15 500 000CFA,AC Range Rover Évoque  2019,"Abidjan, Côte d'Ivoire"
A partir de,1 178 785,CFA/mois *,24 500 000CFA,Kia Sportage 2024,"Yopougon, Abidjan, Côte d'Ivoire"
,,,23 500 000CFA,Mercedes-Benz GLC 300 2019,"Abidjan, Côte d'Ivoire"
A partir de,781 783,CFA/mois *,15 800 000CFA,AC Haval h6 2023,"Abidjan, Côte d'Ivoire"
,,,3 800 000CFA,Toyota Avensis 2003,"Yopougon, Abidjan, Côte d'Ivoire"
,,,6 400 000CFA,Citroen C4 2013 ,"Abidjan, Côte d'Ivoire"
,,,11 800 000CFA,Hyundai Tucson 2018,"Abidjan, Côte d'Ivoire"
A partir de,722 461,CFA/mois *,14 500 000CFA,Kia Sportage 2020,"Abidjan, Côte d'Ivoire"
A partir de,1 657 925,CFA/mois *,35 000 000CFA,BMW X3 2024,"Cocody, Abidjan, Côte d'Ivoire"
A partir de,672 265,CFA/mois *,13 400 000CFA,Kia Sportage 2020,"Cocody, Abidjan, Côte d'Ivoire"
,,,5 900 000CFA,Ford Escape 2010,"Yopougon, Abidjan, Côte d'Ivoire"
,,,2 950 000CFA,Mitsubishi Montero 2002,"Yopougon, Abidjan, Côte d'Ivoire"
,,,20 000 000CFA,Cadillac XTS 2019,"Abidjan, Côte d'Ivoire"
,,,3 800 000CFA,Toyota Avensis 2004,"Yopougon, Abidjan, Côte d'Ivoire"
A partir de,1 612 293,CFA/mois *,34 000 000CFA,GMC Sierra 2022,"Abidjan, Côte d'Ivoire"
A partir de,690 518,CFA/mois *,13 800 000CFA,Mitsubishi Eclipse 2021,"Cocody, Abidjan, Côte d'Ivoire"
A partir de,5 764 841,CFA/mois *,125 000 000CFA,Rover Range Rover 2024,"Cocody, Abidjan, Côte d'Ivoire"
A partir de,1 201 601,CFA/mois *,25 000 000CFA,Toyota Highlander 2022,"Abidjan, Côte d'Ivoire"
,,,6 500 000CFA,Hyundai Accent 2016,"Abidjan, Côte d'Ivoire"
,,,6 800 000CFA,Ford Focus 2018,"Cocody, Abidjan, Côte d'Ivoire"
,,,7 900 000CFA,Toyota Rav4 2010,"Cocody, Abidjan, Côte d'Ivoire"
,,,2 200 000CFA,Peugeot 406 2000,"Yopougon, Abidjan, Côte d'Ivoire"
,,,2 200 000CFA,Mercedes-Benz C180 2002 ,"Yopougon, Abidjan, Côte d'Ivoire"
,,,6 850 000CFA,Toyota Rav4 2008 ,"Abidjan, Côte d'Ivoire"
,,,6 000 000CFA,Hyundai Tucson 2008,"Cocody, Abidjan, Côte d'Ivoire"
,,,4 200 000CFA,Kia Sportage 2007,"Yopougon, Abidjan, Côte d'Ivoire"
,,,13 500 000CFA,Toyota 4Runner 2014,"Yopougon, Abidjan, Côte d'Ivoire"
A partir de,553 621,CFA/mois *,10 800 000CFA,Hyundai Elantra 2021,"Abidjan, Côte d'Ivoire"
,,,10 800 000CFA,Hyundai Sonata 2019,"Abidjan, Côte d'Ivoire"
A partir de,2 114 249,CFA/mois *,45 000 000CFA,Dodge Ram 2022,"Abidjan, Côte d'Ivoire"
A partir de,831 979,CFA/mois *,16 900 000CFA,Hyundai Santa Fe 2020,"Abidjan, Côte d'Ivoire"
,,,9 500 000CFA,Mitsubishi Outlander 2016 ,"Abidjan, Côte d'Ivoire"
,,,24 000 000CFA,Hyundai Santa Fe 2005,"Cocody, Abidjan, Côte d'Ivoire"
,,,11 300 000CFA,Hyundai Tucson 2018,"Cocody, Abidjan, Côte d'Ivoire"
A partir de,649 449,CFA/mois *,12 900 000CFA,Hyundai Kona 2020,"Cocody, Abidjan, Côte d'Ivoire"
,,,6 000 000CFA,Hyundai Tucson 2008,"Cocody, Abidjan, Côte d'Ivoire"
,,,9 000 000CFA,Mitsubishi Pajero 2009,"Yopougon, Abidjan, Côte d'Ivoire"
,,,5 800 000CFA,Honda Accord 2010 ,"Yopougon, Abidjan, Côte d'Ivoire"
A partir de,2 433 676,CFA/mois *,52 000 000CFA,Toyota Supra 2024,"Cocody, Abidjan, Côte d'Ivoire"
,,,27 500 000CFA,Nissan Patrol 2017,"Abidjan, Côte d'Ivoire"
,,,23 500 000CFA,Land Rover Range Rover Velar 2018,"Abidjan, Côte d'Ivoire"
,,,15 500 000CFA,Mitsubishi Pajero 2018,"Abidjan, Côte d'Ivoire"
,,,33 000 000CFA,Mercedes-Benz GLE 450 amg 2017,"Abidjan, Côte d'Ivoire"
A partir de,859 358,CFA/mois *,17 500 000CFA,Toyota Rav4 2022,"Abidjan, Côte d'Ivoire"
A partir de,804 599,CFA/mois *,16 300 000CFA,BMW X1 2021,"Cocody, Abidjan, Côte d'Ivoire"
A partir de,827 415,CFA/mois *,16 800 000CFA,Kia Seltos 2021,"Abidjan, Côte d'Ivoire"
A partir de,964 313,CFA/mois *,19 800 000CFA,Kia Sportage 4X 2023,"Abidjan, Côte d'Ivoire"
,,,10 800 000CFA,Renault Koleos 2019,"Abidjan, Côte d'Ivoire"
,,,2 900 000CFA,Citroen C4 2006,"Cocody, Abidjan, Côte d'Ivoire"
A partir de,923 243,CFA/mois *,18 900 000CFA,Toyota Hilux 2020 ,"Cocody, Abidjan, Côte d'Ivoire"
A partir de,654 012,CFA/mois *,13 000 000CFA,Jeep Compass 2020,"Cocody, Abidjan, Côte d'Ivoire"
,,,12 800 000CFA,Kia Sportage 2019,"Cocody, Abidjan, Côte d'Ivoire"
A partir de,790 909,CFA/mois *,16 000 000CFA,Mazda CX-5 2020,"Cocody, Abidjan, Côte d'Ivoire"
A partir de,690 518,CFA/mois *,13 800 000CFA,Peugeot 3008 2020,"Abidjan, Côte d'Ivoire"
A partir de,1 146 842,CFA/mois *,23 800 000CFA,Toyota Fortuner 2020,"Abidjan, Côte d'Ivoire"
A partir de,6 814 387,CFA/mois *,148 000 000CFA,BMW XM 50e 2025,"Abidjan, Côte d'Ivoire"
,,,6 800 000CFA,Citroen Berlingo 2019,"Yopougon, Abidjan, Côte d'Ivoire"
,,,15 000 000CFA,Rover Range Rover 2019,"Yopougon, Abidjan, Côte d'Ivoire"
,,,31 000 000CFA,Nissan Patrol 2017,"Cocody, Abidjan, Côte d'Ivoire"
,,,9 800 000CFA,Nissan Qashqai 2019,"Cocody, Abidjan, Côte d'Ivoire"
,,,11 800 000CFA,Hyundai Kona 2019,"Abidjan, Côte d'Ivoire"
,,,3 500 000CFA,Volkswagen Golf polo 2004,"Cocody, Abidjan, Côte d'Ivoire"
A partir de,690 518,CFA/mois *,13 800 000CFA,Kia Sportage 2020,"Angré, Abidjan, Côte d'Ivoire"
A partir de,676 828,CFA/mois *,13 500 000CFA,Kia Sonet 2023,"Abidjan, Côte d'Ivoire"
A partir de,690 518,CFA/mois *,13 800 000CFA,Toyota Rush 2020,"Cocody, Abidjan, Côte d'Ivoire"
,,,10 000 000CFA,Volkswagen Touareg 2012,"Yopougon, Abidjan, Côte d'Ivoire"
A partir de,1 680 741,CFA/mois *,35 500 000CFA,Tesla model 3 2022,"Cocody, Abidjan, Côte d'Ivoire"
A partir de,1 133 152,CFA/mois *,23 500 000CFA,Hyundai Santa fe 2021,"Cocody, Abidjan, Côte d'Ivoire"
A partir de,1 840 455,CFA/mois *,39 000 000CFA,Jeep Wrangler 2022,"Koumassi, Abidjan, Côte d'Ivoire"
A partir de,1 886 087,CFA/mois *,40 000 000CFA,Toyota Land Cruiser 2023,"Yopougon, Abidjan, Côte d'Ivoire"
A partir de,266 137,CFA/mois *,4 500 000CFA,Suzuki Baleno 2022,"Yopougon, Abidjan, Côte d'Ivoire"
,,,8 900 000CFA,Hyundai Tucson 2015 ,"Cocody, Abidjan, Côte d'Ivoire"
A partir de,343 712,CFA/mois *,6 200 000CFA,Suzuki Swift 2023,"Cocody, Abidjan, Côte d'Ivoire"
A partir de,1 201 601,CFA/mois *,25 000 000CFA,Toyota Rav4 2022,"Abidjan, Côte d'Ivoire"
A partir de,1 105 773,CFA/mois *,22 900 000CFA,BMW  320 2023,"Cocody, Abidjan, Côte d'Ivoire"
,,,19 000 000CFA,Toyota Highlander 2019,"Yopougon, Abidjan, Côte d'Ivoire"
A partir de,695 081,CFA/mois *,13 900 000CFA,Mitsubishi Outlander 2020,"Yopougon, Abidjan, Côte d'Ivoire"
,,,6 000 000CFA,Lincoln MKX 2015,"Cocody, Abidjan, Côte d'Ivoire"
,,,29 000 000CFA,Mercedes-Benz GLC 2018,"Abidjan, Côte d'Ivoire"
,,,38 000 000CFA,Land Rover Range Rover 2019,"Angré, Abidjan, Côte d'Ivoire"
A partir de,1 361 314,CFA/mois *,28 500 000CFA,Hyundai Santa fe 2023,"Cocody, Abidjan, Côte d'Ivoire"
A partir de,1 009 945,CFA/mois *,20 800 000CFA,Mazda CX-05 2021,"Angré, Abidjan, Côte d'Ivoire"
A partir de,3 209 427,CFA/mois *,69 000 000CFA,Toyota Land Cruiser 2024,"Yopougon, Abidjan, Côte d'Ivoire"
A partir de,1 749 190,CFA/mois *,37 000 000CFA,Land Rover Range Rover Evoque 2022,"Cocody, Abidjan, Côte d'Ivoire"
A partir de,7 818 299,CFA/mois *,170 000 000CFA,BMW XM 2025,"Abidjan, Côte d'Ivoire"
A partir de,1 133 152,CFA/mois *,23 500 000CFA,Toyota Rav4 2021,"Angré, Abidjan, Côte d'Ivoire"
A partir de,2 114 249,CFA/mois *,45 000 000CFA,Jeep Wrangler 2024,"Angré, Abidjan, Côte d'Ivoire"
,,,9 900 000CFA,Mercedes-Benz CLA-Class 2016,"Yopougon, Abidjan, Côte d'Ivoire"
A partir de,1 133 152,CFA/mois *,23 500 000CFA,Hyundai Santa Fe 2021,"Angré, Abidjan, Côte d'Ivoire"
,,,9 800 000CFA,Hyundai Sonata 2019,"Yopougon, Abidjan, Côte d'Ivoire"
A partir de,514 833,CFA/mois *,9 950 000CFA,Toyota Starlet 2024,"Cocody, Abidjan, Côte d'Ivoire"
,,,13 500 000CFA,Mazda CX-5 2019,"Cocody, Abidjan, Côte d'Ivoire"
A partir de,695 081,CFA/mois *,13 900 000CFA,Mitsubishi Outlander 2020,"Abidjan, Côte d'Ivoire"
A partir de,2 570 573,CFA/mois *,55 000 000CFA,Rover Range Velar R-dynamic p400 2024,"Abidjan, Côte d'Ivoire"
A partir de,1 657 925,CFA/mois *,35 000 000CFA,Mitsubishi Montero 2024,"Cocody, Abidjan, Côte d'Ivoire"
A partir de,2 707 470,CFA/mois *,58 000 000CFA,Toyota Land Cruiser 2023,"Yopougon, Abidjan, Côte d'Ivoire"
,,,10 800 000CFA,Mazda CX-3 2018 a1,"Yopougon, Abidjan, Côte d'Ivoire"
A partir de,2 707 470,CFA/mois *,58 000 000CFA,Rover Range Rover Velar 2023,"Cocody, Abidjan, Côte d'Ivoire"
A partir de,375 655,CFA/mois *,6 900 000CFA,Suzuki Dzire 2022,"Cocody, Abidjan, Côte d'Ivoire"
,,,8 900 000CFA,Hyundai Elantra 2018,"Abidjan, Côte d'Ivoire"
A partir de,471 483,CFA/mois *,9 000 000CFA,Isuzu Gen G 2022,"Cocody, Abidjan, Côte d'Ivoire"
A partir de,553 621,CFA/mois *,10 800 000CFA,Renault Kadjar 2021,"Cocody, Abidjan, Côte d'Ivoire"
A partir de,836 542,CFA/mois *,17 000 000CFA,Peugeot 3008 2024,"Cocody, Abidjan, Côte d'Ivoire"
A partir de,722 461,CFA/mois *,14 500 000CFA,Kia Sportage 2020,"Angré, Abidjan, Côte d'Ivoire"
A partir de,1 270 050,CFA/mois *,26 500 000CFA,Hyundai Tucson Htrac Hybrid 2023,"Cocody, Abidjan, Côte d'Ivoire"
A partir de,1 238 107,CFA/mois *,25 800 000CFA,Honda CR-V 2021,"Angré, Abidjan, Côte d'Ivoire"
,,,24 800 000CFA,Mercedes-Benz E200 2019,"Yopougon, Abidjan, Côte d'Ivoire"
A partir de,4 076 442,CFA/mois *,88 000 000CFA,Trabant Sequoia 2024,"Abidjan, Côte d'Ivoire"
A partir de,695 081,CFA/mois *,13 900 000CFA,Mitsubishi Xpander 2024,"Abidjan, Côte d'Ivoire"
A partir de,882 174,CFA/mois *,18 000 000CFA,Mazda CX-9 2021 ,"Abidjan, Côte d'Ivoire"
,,,12 800 000CFA,Hyundai Santa Fe XL Limited 2017,"Cocody, Abidjan, Côte d'Ivoire"
A partir de,790 909,CFA/mois *,16 000 000CFA,Peugeot 3008 GT-Line 2020,"Abidjan, Côte d'Ivoire"
A partir de,800 036,CFA/mois *,16 200 000CFA,Hyundai Tucson 2020 ,"Abidjan, Côte d'Ivoire"
A partir de,850 232,CFA/mois *,17 300 000CFA,Hyundai Tucson 2020 ,"Abidjan, Côte d'Ivoire"
A partir de,1 055 577,CFA/mois *,21 800 000CFA,Toyota Rav4 2020 ,"Abidjan, Côte d'Ivoire"
,,,4 500 000CFA,Toyota Corolla 2006,"Yopougon, Abidjan, Côte d'Ivoire"
A partir de,827 415,CFA/mois *,16 800 000CFA,Mitsubishi L 200 2021,"Yopougon, Abidjan, Côte d'Ivoire"
A partir de,2 456 492,CFA/mois *,52 500 000CFA,Toyota Tundra 2024,"Cocody, Abidjan, Côte d'Ivoire"
A partir de,736 151,CFA/mois *,14 800 000CFA,Hyundai Elantra 2022,"Abidjan, Côte d'Ivoire"
A partir de,1 110 336,CFA/mois *,23 000 000CFA,Toyota Rav4 2021,"Abidjan, Côte d'Ivoire"
,,,3 350 000CFA,Citroen C4  2005,"Cocody, Abidjan, Côte d'Ivoire"
A partir de,553 621,CFA/mois *,10 800 000CFA,Suzuki Vitara 2021,"Abidjan, Côte d'Ivoire"
A partir de,1 055 577,CFA/mois *,21 800 000CFA,Toyota Rav4 XSE Hybride 2021,"Abidjan, Côte d'Ivoire"
,,,2 000 000CFA,BMW X5 2002,"Yopougon, Abidjan, Côte d'Ivoire"
,,,32 000 000CFA,Mercedes Benz GLE 43 2018,"Abidjan, Côte d'Ivoire"
A partir de,1 292 866,CFA/mois *,27 000 000CFA,BMW X3 X-Drive  2023,"Abidjan, Côte d'Ivoire"
,,,4 250 000CFA,Kia Optima 2013 ,"Cocody, Abidjan, Côte d'Ivoire"
,,,16 500 000CFA,Toyota  Land Cruiser Prado TXL 2013,"Abidjan, Côte d'Ivoire"
A partir de,558 184,CFA/mois *,10 900 000CFA,Suzuki Vitara 2021,"Cocody, Abidjan, Côte d'Ivoire"
A partir de,1 612 293,CFA/mois *,34 000 000CFA,Honda CR-V 2024,"Abidjan, Côte d'Ivoire"
A partir de,859 358,CFA/mois *,17 500 000CFA,Kia Sportage S 2021,"Abidjan, Côte d'Ivoire"
A partir de,1 384 131,CFA/mois *,29 000 000CFA,BMW Série 4 2023,"Abidjan, Côte d'Ivoire"
,,,5 600 000CFA,Renault Duster 2015,"Cocody, Abidjan, Côte d'Ivoire"
A partir de,1 055 577,CFA/mois *,21 800 000CFA,Mitsubishi Montero 2021,"Abidjan, Côte d'Ivoire"
,,,9 850 000CFA,Hyundai Tucson 2019 ,"Cocody, Abidjan, Côte d'Ivoire"
,,,5 900 000CFA,Toyota Corolla 2006,"Cocody, Abidjan, Côte d'Ivoire"
A partir de,1 338 498,CFA/mois *,28 000 000CFA,Mercedes-Benz GLA 250 2021,"Cocody, Abidjan, Côte d'Ivoire"
,,,4 950 000CFA,Toyota Previa 2014,"Abidjan, Côte d'Ivoire"
,,,6 800 000CFA,Hyundai Accent 2017,"Cocody, Abidjan, Côte d'Ivoire"
,,,11 500 000CFA,Toyota Land Cruiser 2015 ,"Cocody, Abidjan, Côte d'Ivoire"
A partir de,1 055 577,CFA/mois *,21 800 000CFA,Toyota Rav4 2021,"Cocody, Abidjan, Côte d'Ivoire"
A partir de,1 589 476,CFA/mois *,33 500 000CFA,Honda CR-V 2023,"Abidjan, Côte d'Ivoire"
,,,3 850 000CFA,Mitsubishi Outlander boite auto 2004,"Cocody, Abidjan, Côte d'Ivoire"
A partir de,2 159 882,CFA/mois *,46 000 000CFA,Jeep Wrangler 2023,"Cocody, Abidjan, Côte d'Ivoire"
A partir de,1 429 763,CFA/mois *,30 000 000CFA,Jeep Wrangler 2022,"Abidjan, Côte d'Ivoire"
,,,12 500 000CFA,Kia Sportage 2019,"Abidjan, Côte d'Ivoire"
,,,5 000 000CFA,Mercedes-Benz GLA-Class 2015,"Cocody, Abidjan, Côte d'Ivoire"
,,,2 850 000CFA,Toyota Corolla 2011 ,"Cocody, Abidjan, Côte d'Ivoire"
,,,2 850 000CFA,Toyota  Corolla 2011 ,"Cocody, Abidjan, Côte d'Ivoire"
A partir de,631 196,CFA/mois *,12 500 000CFA,Hyundai Kona 2020,"Cocody, Abidjan, Côte d'Ivoire"
A partir de,813 726,CFA/mois *,16 500 000CFA,Kia Sorento 2020,"Angré, Abidjan, Côte d'Ivoire"
A partir de,288 953,CFA/mois *,5 000 000CFA,Suzuki Dzire 2023,"Cocody, Abidjan, Côte d'Ivoire"
A partir de,850 232,CFA/mois *,17 300 000CFA,Hyundai Tucson 2020 ,"Abidjan, Côte d'Ivoire"
,,,25 800 000CFA,Toyota Land Cruiser 2015 ,"Abidjan, Côte d'Ivoire"
,,,6 000 000CFA,Kia Optima 2014,"Cocody, Abidjan, Côte d'Ivoire"
A partir de,1 657 925,CFA/mois *,35 000 000CFA,Honda CR-V 2024,"Yopougon, Abidjan, Côte d'Ivoire"
A partir de,740 714,CFA/mois *,14 900 000CFA,Hyundai Tucson 2020 ,"Abidjan, Côte d'Ivoire"
A partir de,1 375 004,CFA/mois *,28 800 000CFA,Toyota Hilux 2024,"Abidjan, Côte d'Ivoire"
,,,3 900 000CFA,Honda Accord 2005,"Yopougon, Abidjan, Côte d'Ivoire"
A partir de,3 711 383,CFA/mois *,80 000 000CFA,Toyota Land Cruiser 2024,"Yopougon, Abidjan, Côte d'Ivoire"
,,,14 000 000CFA,Honda CR-V 2019,"Cocody, Abidjan, Côte d'Ivoire"
A partir de,1 101 210,CFA/mois *,22 800 000CFA,Toyota Rav4 XSE Hybride 2021,"Abidjan, Côte d'Ivoire"
A partir de,950 623,CFA/mois *,19 500 000CFA,Toyota Rav4 2024,"Yopougon, Abidjan, Côte d'Ivoire"
,,,8 800 000CFA,Mitsubishi Outlander Sport 2017,"Abidjan, Côte d'Ivoire"
,,,7 800 000CFA,Hyundai Elantra 2018,"Angré, Abidjan, Côte d'Ivoire"
A partir de,859 358,CFA/mois *,17 500 000CFA,Hyundai Avante 2021,"Abidjan, Côte d'Ivoire"
,,,3 300 000CFA,Mercedes Benz C280 2004,"Yopougon, Abidjan, Côte d'Ivoire"
,,,36 000 000CFA,Maserati Levante 2018,"Abidjan, Côte d'Ivoire"
,,,38 000 000CFA,Rover Range Velar P380 2019,"Abidjan, Côte d'Ivoire"
,,,1 900 000CFA,Peugeot 206 2003,"Abidjan, Côte d'Ivoire"
,,,25 000 000CFA,Lexus US 2019,"Abidjan, Côte d'Ivoire"
A partir de,1 886 087,CFA/mois *,40 000 000CFA,Mercedes Benz GLC 43 2020,"Abidjan, Côte d'Ivoire"
,,,26 000 000CFA,Audi A5 2019,"Yopougon, Abidjan, Côte d'Ivoire"
,,,10 500 000CFA,Audi Q5 2010,"Yopougon, Abidjan, Côte d'Ivoire"
A partir de,512 552,CFA/mois *,9 900 000CFA,Hyundai Elantra 2020,"Cocody, Abidjan, Côte d'Ivoire"
A partir de,859 358,CFA/mois *,17 500 000CFA,Kia Sportage ex 2021,"Abidjan, Côte d'Ivoire"
,,,8 950 000CFA,Hyundai Santa fe 2015,"Cocody, Abidjan, Côte d'Ivoire"
A partir de,5 764 841,CFA/mois *,125 000 000CFA,Mercedes Benz GLE 63S amg 2023,"Abidjan, Côte d'Ivoire"
,,,23 000 000CFA,BMW Serie 320 2010,"Abidjan, Côte d'Ivoire"
A partir de,2 342 411,CFA/mois *,50 000 000CFA,Mercedes-Benz GLE 350 2020,"Abidjan, Côte d'Ivoire"
A partir de,859 358,CFA/mois *,17 500 000CFA,Hyundai Tucson 2021 ,"Abidjan, Côte d'Ivoire"
A partir de,514 833,CFA/mois *,9 950 000CFA,Toyota Belta 2024,"Cocody, Abidjan, Côte d'Ivoire"
A partir de,3 163 794,CFA/mois *,68 000 000CFA,Audi Q8 2023,"Abidjan, Côte d'Ivoire"
,,,35 000 000CFA,Mercedes Benz GLC 43 2018,"Abidjan, Côte d'Ivoire"
A partir de,697 363,CFA/mois *,13 950 000CFA,Mitsubishi Outlander 7places 2021,"Cocody, Abidjan, Côte d'Ivoire"
,,,7 900 000CFA,Toyota Corolla S 2017,"Abidjan, Côte d'Ivoire"
A partir de,873 048,CFA/mois *,17 800 000CFA,Hyundai Tucson 2020 ,"Abidjan, Côte d'Ivoire"
