type_transaction,prix_location,devise_location,prix_vente,description,localisation
A partir de,973 439,CFA/mois *,20 000 000CFA,Acura RDX 2021,"Abidjan, Côte d'Ivoire"
,,,12 800 000CFA,Honda CR-V 2018,"Yopougon, Abidjan, Côte d'Ivoire"
A partir de,1 657 925,CFA/mois *,35 000 000CFA,Mitsubishi Outlander SE  2023,"Abidjan, Côte d'Ivoire"
,,,15 500 000CFA,Toyota Hi-ace 2019,"Cocody, Abidjan, Côte d'Ivoire"
A partir de,2 114 249,CFA/mois *,45 000 000CFA,Toyota Hilux 2024,"Abidjan, Côte d'Ivoire"
A partir de,950 623,CFA/mois *,19 500 000CFA,Mitsubishi Xpander cross 2024 ,"Cocody, Abidjan, Côte d'Ivoire"
,,,11 500 000CFA,Mercedes-benz C30 2016,"Cocody, Abidjan, Côte d'Ivoire"
,,,2 600 000CFA,Honda Accord 2006,"Cocody, Abidjan, Côte d'Ivoire"
,,,6 500 000CFA,Toyota Prado  2003,"Cocody, Abidjan, Côte d'Ivoire"
,,,3 500 000CFA,Toyota Obama  1995,"Koumassi, Abidjan, Côte d'Ivoire"
,,,9 900 000CFA,Mercedes-benz C-class 2016,"Cocody, Abidjan, Côte d'Ivoire"
A partir de,2 251 146,CFA/mois *,48 000 000CFA,Hyundai Genesis GV 70 sport  2022,"Abidjan, Côte d'Ivoire"
,,,8 500 000CFA,Hyundai Sonata 2017,"Cocody, Abidjan, Côte d'Ivoire"
,,,5 500 000CFA,Mitsubishi  Did,"Yopougon, Abidjan, Côte d'Ivoire"
,,,10 800 000CFA,Kia Sportage 2017,"Cocody, Abidjan, Côte d'Ivoire"
A partir de,553 621,CFA/mois *,10 800 000CFA,Hyundai Elantra 2021,"Cocody, Abidjan, Côte d'Ivoire"
A partir de,503 425,CFA/mois *,9 700 000CFA,Hyundai Elantra 2020,"Abidjan, Côte d'Ivoire"
,,,13 900 000CFA,Mitsubishi Eclipse 2019,"Cocody, Abidjan, Côte d'Ivoire"
,,,9 800 000CFA,Toyota Hilux 2016,"Yopougon, Abidjan, Côte d'Ivoire"
A partir de,1 178 785,CFA/mois *,24 500 000CFA,Kia Sportage 2024,"Abidjan, Côte d'Ivoire"
A partir de,1 055 577,CFA/mois *,21 800 000CFA,Toyota Rav4 2022 ,"Cocody, Abidjan, Côte d'Ivoire"
,,,5 800 000CFA,Ford Escape 2016 ,"Cocody, Abidjan, Côte d'Ivoire"
A partir de,3 209 427,CFA/mois *,69 000 000CFA,Toyota Land Cruiser 2024,"Cocody, Abidjan, Côte d'Ivoire"
A partir de,882 174,CFA/mois *,18 000 000CFA,BMW 325 2020,"Angré, Abidjan, Côte d'Ivoire"
,,,5 800 000CFA,Ford Escape 2016,"Cocody, Abidjan, Côte d'Ivoire"
A partir de,914 117,CFA/mois *,18 700 000CFA,Mazda CX-5 2022,"Yopougon, Abidjan, Côte d'Ivoire"
A partir de,1 703 557,CFA/mois *,36 000 000CFA,Toyota Highlander 2022,"Yopougon, Abidjan, Côte d'Ivoire"
,,,7 900 000CFA,Mitsubishi  L200 2017,"Yopougon, Abidjan, Côte d'Ivoire"
,,,10 800 000CFA,Dodge Charger 2019,"Cocody, Abidjan, Côte d'Ivoire"
A partir de,507 989,CFA/mois *,9 800 000CFA,Geely CK  2021,"Cocody, Abidjan, Côte d'Ivoire"
A partir de,758 967,CFA/mois *,15 300 000CFA,AC Haval H6 gwm 2023,"Abidjan, Côte d'Ivoire"
A partir de,736 151,CFA/mois *,14 800 000CFA,Jeep Compass 2020,"Cocody, Abidjan, Côte d'Ivoire"
,,,9 500 000CFA,Rover Range Rover 2018,"Yopougon, Abidjan, Côte d'Ivoire"
,,,7 600 000CFA,Toyota Hilux 2011,"Yopougon, Abidjan, Côte d'Ivoire"
,,,7 900 000CFA,Mitsubishi Outlander 2015,"Cocody, Abidjan, Côte d'Ivoire"
,,,4 600 000CFA,MERCEDES-BENZ C200 2003,"Angré, Abidjan, Côte d'Ivoire"
,,,2 800 000CFA,BMW E46 2010,"Koumassi, Abidjan, Côte d'Ivoire"
,,,20 000 000CFA,Jeep wrangler sahara 2018,"Abidjan, Côte d'Ivoire"
,,,4 500 000CFA,Toyota Obama phase 2  2006,"Cocody, Abidjan, Côte d'Ivoire"
,,,28 000 000CFA,Mercedes-benz GLC  43 2018,"Abidjan, Côte d'Ivoire"
,,,12 500 000CFA,Mercedes-Benz GLA-Class 2016,"Abidjan, Côte d'Ivoire"
A partir de,334 585,CFA/mois *,6 000 000CFA,Toyota Starlet 2022,"Abidjan, Côte d'Ivoire"
,,,8 500 000CFA,Hyundai IX35 2013,"Cocody, Abidjan, Côte d'Ivoire"
,,,5 000 000CFA,Renault Duster 2017 ,"Yopougon, Abidjan, Côte d'Ivoire"
,,,9 500 000CFA,Volkswagen Tiguan 2018,"Cocody, Abidjan, Côte d'Ivoire"
,,,14 700 000CFA,Toyota Land Cruiser 2013,"Cocody, Abidjan, Côte d'Ivoire"
,,,3 800 000CFA,Opel Zafira 1999,"Yopougon, Abidjan, Côte d'Ivoire"
,,,5 800 000CFA,Toyota Land Cruiser 2005,"Yopougon, Abidjan, Côte d'Ivoire"
,,,16 500 000CFA,Hyundai Santa fe 2019,"Yopougon, Abidjan, Côte d'Ivoire"
A partir de,690 518,CFA/mois *,13 800 000CFA,Suzuki Jimny allgrip 2023,"Cocody, Abidjan, Côte d'Ivoire"
,,,4 300 000CFA,Nissan Qashqai 2008,"Cocody, Abidjan, Côte d'Ivoire"
A partir de,882 174,CFA/mois *,18 000 000CFA,BMW Serie 3 2020,"Abidjan, Côte d'Ivoire"
,,,8 500 000CFA,Hyundai Tucson 2012,"Abidjan, Côte d'Ivoire"
,,,4 300 000CFA,Nissan Rogue 2008,"Yopougon, Abidjan, Côte d'Ivoire"
,,,8 500 000CFA,Kia Sportage 2013 ,"Cocody, Abidjan, Côte d'Ivoire"
,,,11 500 000CFA,BMW X2 Sdrive 2019,"Abidjan, Côte d'Ivoire"
A partir de,1 247 233,CFA/mois *,26 000 000CFA,Ford Urban Explorer 2021,"Cocody, Abidjan, Côte d'Ivoire"
A partir de,4 076 442,CFA/mois *,88 000 000CFA,Toyota Sequoia 2024,"Cocody, Abidjan, Côte d'Ivoire"
,,,7 000 000CFA,Kia Optima 2016,"Cocody, Abidjan, Côte d'Ivoire"
,,,18 800 000CFA,Mitsubishi Montero 2018,"Cocody, Abidjan, Côte d'Ivoire"
,,,11 800 000CFA,Kia Sportage 2018,"Cocody, Abidjan, Côte d'Ivoire"
,,,7 400 000CFA,Audi 11CV  2012,"Koumassi, Abidjan, Côte d'Ivoire"
,,,7 200 000CFA,Ford Escape 2018,"Cocody, Abidjan, Côte d'Ivoire"
,,,8 500 000CFA,Hyundai Tucson 2016,"Cocody, Abidjan, Côte d'Ivoire"
,,,5 500 000CFA,Toyota Land Cruiser Prado 2003,"Cocody, Abidjan, Côte d'Ivoire"
,,,9 500 000CFA,Hyundai Elantra 2019,"Cocody, Abidjan, Côte d'Ivoire"
,,,6 800 000CFA,Toyota Corolla 2018,"Abidjan, Côte d'Ivoire"
A partir de,3 802 648,CFA/mois *,82 000 000CFA,Toyota Land Cruiser 2024,"Abidjan, Côte d'Ivoire"
,,,4 500 000CFA,Toyota Camry 2018 ,"Cocody, Abidjan, Côte d'Ivoire"
A partir de,1 566 660,CFA/mois *,33 000 000CFA,Toyota Land Cruiser Prado VX  2020,"Cocody, Abidjan, Côte d'Ivoire"
,,,5 850 000CFA,Hyundai Elantra 2012 ,"Cocody, Abidjan, Côte d'Ivoire"
,,,7 300 000CFA,Mini Cooper Countryman 2016,"Cocody, Abidjan, Côte d'Ivoire"
A partir de,768 093,CFA/mois *,15 500 000CFA,Mazda CX-5 2020,"Cocody, Abidjan, Côte d'Ivoire"
,,,2 800 000CFA,Hyundai Getz 2007,"Yopougon, Abidjan, Côte d'Ivoire"
,,,7 000 000CFA,Kia  Sorento 2014,"Cocody, Abidjan, Côte d'Ivoire"
,,,4 850 000CFA,Honda CR-V 2  2003,"Cocody, Abidjan, Côte d'Ivoire"
,,,4 850 000CFA,Honda CR-V2 2003,"Cocody, Abidjan, Côte d'Ivoire"
A partir de,311 769,CFA/mois *,5 500 000CFA,Suzuki Dzire 2023,"Cocody, Abidjan, Côte d'Ivoire"
A partir de,1 375 004,CFA/mois *,28 800 000CFA,Hyundai Palisade 2022,"Abidjan, Côte d'Ivoire"
A partir de,781 783,CFA/mois *,15 800 000CFA,Hyundai Tucson 2020,"Abidjan, Côte d'Ivoire"
,,,4 800 000CFA,Toyota Corolla 2004,"Cocody, Abidjan, Côte d'Ivoire"
,,,5 850 000CFA,Volkswagen Touareg 2006 boite auto,"Cocody, Abidjan, Côte d'Ivoire"
A partir de,918 680,CFA/mois *,18 800 000CFA,Mazda CX-5 2022,"Abidjan, Côte d'Ivoire"
,,,3 000 000CFA,Ford Focus 2005,"Cocody, Abidjan, Côte d'Ivoire"
A partir de,2 570 573,CFA/mois *,55 000 000CFA,LAND ROVER Range Rover Velar 2024,"Cocody, Abidjan, Côte d'Ivoire"
,,,5 850 000CFA,Volkswagen Touareg 2006,"Cocody, Abidjan, Côte d'Ivoire"
,,,8 700 000CFA,Hyundai Santa fe 2015,"Cocody, Abidjan, Côte d'Ivoire"
,,,3 000 000CFA,Hyundai Elantra 2008,"Cocody, Abidjan, Côte d'Ivoire"
A partir de,1 101 210,CFA/mois *,22 800 000CFA,Land rover range Rover Sport turning SVR  2022,"Cocody, Abidjan, Côte d'Ivoire"
A partir de,649 449,CFA/mois *,12 900 000CFA,Mitsubishi Eclipse Cross 2022,"Cocody, Abidjan, Côte d'Ivoire"
A partir de,631 196,CFA/mois *,12 500 000CFA,Peugeot 2008 2020,"Cocody, Abidjan, Côte d'Ivoire"
A partir de,1 155 969,CFA/mois *,24 000 000CFA,Ford Territory 2024,"Cocody, Abidjan, Côte d'Ivoire"
A partir de,1 041 888,CFA/mois *,21 500 000CFA,Kia K900 2022,"Cocody, Abidjan, Côte d'Ivoire"
A partir de,1 521 028,CFA/mois *,32 000 000CFA,BMW X1 2024,"Cocody, Abidjan, Côte d'Ivoire"
A partir de,1 886 087,CFA/mois *,40 000 000CFA,Mercedes-Benz GLC 43 2021,"Abidjan, Côte d'Ivoire"
A partir de,651 731,CFA/mois *,12 950 000CFA,Changan Hunter  2022 double cabine ,"Cocody, Abidjan, Côte d'Ivoire"
,,,8 300 000CFA,Mazda 6 2017,"Cocody, Abidjan, Côte d'Ivoire"
,,,18 500 000CFA,Toyota 4 Runner 2017,"Cocody, Abidjan, Côte d'Ivoire"
,,,1 900 000CFA,Mitsubishi Colt 2001,"Cocody, Abidjan, Côte d'Ivoire"
A partir de,330 022,CFA/mois *,5 900 000CFA,Suzuki Swift 2021,"Cocody, Abidjan, Côte d'Ivoire"
,,,9 950 000CFA,Mercedes-benz C300 2014,"Abidjan, Côte d'Ivoire"
A partir de,836 542,CFA/mois *,17 000 000CFA,Volkswagen T-roc  2023,"Yopougon, Abidjan, Côte d'Ivoire"
A partir de,813 726,CFA/mois *,16 500 000CFA,MG  ZS  2025 ,"Cocody, Abidjan, Côte d'Ivoire"
,,,3 800 000CFA,Mazda BT 50 double Cabine 2015,"Cocody, Abidjan, Côte d'Ivoire"
,,,4 800 000CFA,Kia Rio 2012,"Cocody, Abidjan, Côte d'Ivoire"
A partir de,2 114 249,CFA/mois *,45 000 000CFA,Jeep Wrangler 2024,"Abidjan, Côte d'Ivoire"
,,,8 900 000CFA,Ford Escape 2019,"Cocody, Abidjan, Côte d'Ivoire"
A partir de,252 447,CFA/mois *,4 200 000CFA,Suzuki S-Presso 2023,"Cocody, Abidjan, Côte d'Ivoire"
,,,3 650 000CFA,Peugeot 308 2014,"Cocody, Abidjan, Côte d'Ivoire"
,,,25 000 000CFA,Toyota land cruiser azawad double cabine pick up  2014,"Cocody, Abidjan, Côte d'Ivoire"
,,,5 800 000CFA,Ford Ecosport 2015,"Cocody, Abidjan, Côte d'Ivoire"
A partir de,754 404,CFA/mois *,15 200 000CFA,Mazda 3 2023,"Cocody, Abidjan, Côte d'Ivoire"
,,,13 500 000CFA,Hyundai Santa fe 2018,"Cocody, Abidjan, Côte d'Ivoire"
,,,3 650 000CFA,Peugeot 308 2014,"Cocody, Abidjan, Côte d'Ivoire"
,,,7 500 000CFA,Hyundai Elantra 2016,"Cocody, Abidjan, Côte d'Ivoire"
A partir de,514 833,CFA/mois *,9 950 000CFA,Nissan Kicks 2020,"Cocody, Abidjan, Côte d'Ivoire"
A partir de,530 805,CFA/mois *,10 300 000CFA,Kia Rio 2021,"Abidjan, Côte d'Ivoire"
,,,39 000 000CFA,Mercedes-benz GLE 43 amg 2018,"Abidjan, Côte d'Ivoire"
A partir de,722 461,CFA/mois *,14 500 000CFA,Mitsubishi L200 2022,"Cocody, Abidjan, Côte d'Ivoire"
A partir de,1 566 660,CFA/mois *,33 000 000CFA,BMW X4 2020,"Abidjan, Côte d'Ivoire"
A partir de,585 564,CFA/mois *,11 500 000CFA,Peugeot 3008 2020,"Cocody, Abidjan, Côte d'Ivoire"
,,,6 900 000CFA,Hyundai Accent 2017,"Cocody, Abidjan, Côte d'Ivoire"
,,,15 000 000CFA,Mercedes-benz GLE 350 d  2018,"Cocody, Abidjan, Côte d'Ivoire"
,,,17 000 000CFA,Honda CRV5 2019,"Cocody, Abidjan, Côte d'Ivoire"
A partir de,1 375 004,CFA/mois *,28 800 000CFA,Toyota Hilux 2024,"Cocody, Abidjan, Côte d'Ivoire"
A partir de,736 151,CFA/mois *,14 800 000CFA,Hyundai Tucson 2021,"Cocody, Abidjan, Côte d'Ivoire"
,,,2 950 000CFA,Toyota Yaris 2011,"Cocody, Abidjan, Côte d'Ivoire"
A partir de,1 110 336,CFA/mois *,23 000 000CFA,Toyota Rav4 2023,"Cocody, Abidjan, Côte d'Ivoire"
,,,7 800 000CFA,Peugeot 508 2017,"Abidjan, Côte d'Ivoire"
A partir de,2 570 573,CFA/mois *,55 000 000CFA,Tesla modéle y 2023,"Abidjan, Côte d'Ivoire"
A partir de,608 380,CFA/mois *,12 000 000CFA,Hyundai Kona  2020,"Cocody, Abidjan, Côte d'Ivoire"
,,,12 800 000CFA,Kia Sportage 2019,"Cocody, Abidjan, Côte d'Ivoire"
A partir de,722 461,CFA/mois *,14 500 000CFA,Hyundai Tucson 2020,"Cocody, Abidjan, Côte d'Ivoire"
A partir de,813 726,CFA/mois *,16 500 000CFA,Mg ZS  2025 ,"Cocody, Abidjan, Côte d'Ivoire"
A partir de,1 315 682,CFA/mois *,27 500 000CFA,Ford Explorer XLT 2021,"Cocody, Abidjan, Côte d'Ivoire"
,,,9 000 000CFA,Ford Explorer 2016,"Cocody, Abidjan, Côte d'Ivoire"
,,,14 500 000CFA,BMW X3 2017,"Cocody, Abidjan, Côte d'Ivoire"
A partir de,644 886,CFA/mois *,12 800 000CFA,Kia Sorento 2020,"Cocody, Abidjan, Côte d'Ivoire"
,,,7 800 000CFA,Peugeot 208 2019,"Cocody, Abidjan, Côte d'Ivoire"
,,,4 300 000CFA,Mitsubishi Pajero 2001,"Abidjan, Côte d'Ivoire"
,,,7 800 000CFA,Kia Optima 2016,"Abidjan, Côte d'Ivoire"
,,,6 900 000CFA,Mazda 3 2017,"Cocody, Abidjan, Côte d'Ivoire"
A partir de,959 749,CFA/mois *,19 700 000CFA,Nissan Rogue 2022,"Cocody, Abidjan, Côte d'Ivoire"
,,,7 950 000CFA,Renault Duster 2019 ,"Cocody, Abidjan, Côte d'Ivoire"
,,,9 500 000CFA,BMW Serie 3 328i Xdrive GT 2017,"Cocody, Abidjan, Côte d'Ivoire"
A partir de,494 299,CFA/mois *,9 500 000CFA,Suzuki Baleno 2021,"Abidjan, Côte d'Ivoire"
A partir de,1 201 601,CFA/mois *,25 000 000CFA,Land Rover Discovery 2021,"Abidjan, Côte d'Ivoire"
,,,15 500 000CFA,Land Rover Range Rover Sport 2018,"Cocody, Abidjan, Côte d'Ivoire"
,,,11 800 000CFA,KIA Soul 2019,"Cocody, Abidjan, Côte d'Ivoire"
,,,13 500 000CFA,Mitsubishi Montero 2019,"Cocody, Abidjan, Côte d'Ivoire"
,,,7 500 000CFA,Toyota corolla 2017,"Cocody, Abidjan, Côte d'Ivoire"
,,,11 900 000CFA,Hyundai Santa fe 2018,"Cocody, Abidjan, Côte d'Ivoire"
A partir de,494 299,CFA/mois *,9 500 000CFA,Hyundai Elantra 2021 grand écran android,"Cocody, Abidjan, Côte d'Ivoire"
A partir de,827 415,CFA/mois *,16 800 000CFA,MG ZS 2025 chez concessionnaire,"Cocody, Abidjan, Côte d'Ivoire"
A partir de,375 655,CFA/mois *,6 900 000CFA,Suzuki Swift 2020,"Cocody, Abidjan, Côte d'Ivoire"
,,,39 000 000CFA,Mercedes-benz GLE 43 2018,"Angré, Abidjan, Côte d'Ivoire"
A partir de,1 657 925,CFA/mois *,35 000 000CFA,Mitsubishi outlander 2023,"Angré, Abidjan, Côte d'Ivoire"
A partir de,1 201 601,CFA/mois *,25 000 000CFA,Ford Explorer 2021,"Cocody, Abidjan, Côte d'Ivoire"
,,,2 950 000CFA,Hyundai i10  2014 ,"Cocody, Abidjan, Côte d'Ivoire"
,,,3 850 000CFA,Mitsubishi Outlander 2004 ,"Cocody, Abidjan, Côte d'Ivoire"
,,,17 800 000CFA,Bmw x3 xdrive  2018,"Cocody, Abidjan, Côte d'Ivoire"
A partir de,736 151,CFA/mois *,14 800 000CFA,Haval H6 2021,"Cocody, Abidjan, Côte d'Ivoire"
,,,5 900 000CFA,Mercedes-benz C 2012,"Cocody, Abidjan, Côte d'Ivoire"
A partir de,558 184,CFA/mois *,10 900 000CFA,SUZUKI Vitara Maison Mère  2022,"Cocody, Abidjan, Côte d'Ivoire"
,,,11 500 000CFA,Mercedes-Benz GL-Class 2016,"Angré, Abidjan, Côte d'Ivoire"
A partir de,973 439,CFA/mois *,20 000 000CFA,Ford Explorer 2022,"Cocody, Abidjan, Côte d'Ivoire"
