type_transaction,prix_location,prix_vente,description,localisation,commune,ville,marque,modele,annee
Location,685955,13700000,hyundai tucson 2020 ,"Cocody, Abidjan, Côte d'Ivoire",Cocody,Abidjan,Hyundai,Tucson,2020
Vente,0,11800000,kia sportage 2017,"Cocody, Abidjan, Côte d'Ivoire",Cocody,Abidjan,Kia,Sportage,2017
Location,1146842,23800000,toyota fortuner 2021,"Cocody, Abidjan, Côte d'Ivoire",Cocody,Abidjan,Toyota,Fortuner,2021
Location,768093,15500000,suzuki grand vitara 2023,"Cocody, Abidjan, Côte d'Ivoire",Cocody,Abidjan,Suzuki,Vitara,2023
Vente,0,7800000,nissan qashqai 2015 ,"Cocody, Abidjan, Côte d'Ivoire",Cocody,Abidjan,Nissan,Qashqai,2015
Vente,0,6500000,honda redgeline 2008 ,"Cocody, Abidjan, Côte d'Ivoire",Cocody,Abidjan,Honda,Redgeline,2008
Location,1657925,35000000,jeep sahara wrangler  2021,"Marcory, Abidjan, Côte d'Ivoire",Marcory,Abidjan,Jeep,Sahara wrangler,2021
Location,1019071,21000000,honda cr-v 5 2022,"Cocody, Abidjan, Côte d'Ivoire",Cocody,Abidjan,Honda,Cr-v 5,2022
Vente,0,8800000,mercedes benz c300 2013,"Abidjan, Côte d'Ivoire",,Abidjan,Mercedes,Benz,2013
Location,2570573,55000000,land rover range rover 2024,"Abidjan, Côte d'Ivoire",,Abidjan,Range rover,Rover range rover,2024
Location,553621,10800000,suzuki vitara 2021,"Cocody, Abidjan, Côte d'Ivoire",Cocody,Abidjan,Suzuki,Vitara,2021
Vente,0,12500000,mitsubishi pajero gls 2015,"Cocody, Abidjan, Côte d'Ivoire",Cocody,Abidjan,Mitsubishi,Pajero gls,2015
Vente,0,9800000,mitsubishi outlander 2018,"Cocody, Abidjan, Côte d'Ivoire",Cocody,Abidjan,Mitsubishi,Outlander,2018
Location,585564,11500000,nissan juke 2020 ,"Cocody, Abidjan, Côte d'Ivoire",Cocody,Abidjan,Nissan,Juke,2020
Location,425850,8000000,suzuki dzire 2025,"Cocody, Abidjan, Côte d'Ivoire",Cocody,Abidjan,Suzuki,Dzire,2025
Vente,0,10900000,honda cr-v4 2016,"Cocody, Abidjan, Côte d'Ivoire",Cocody,Abidjan,Honda,Cr-v4,2016
Location,690518,13800000,mitsubishi outlander 2021,"Cocody, Abidjan, Côte d'Ivoire",Cocody,Abidjan,Mitsubishi,Outlander,2021
Vente,0,9900000,hyundai creta   2016,"Cocody, Abidjan, Côte d'Ivoire",Cocody,Abidjan,Hyundai,Creta,2016
Vente,0,7500000,nissan qashqai 2016 ,"Cocody, Abidjan, Côte d'Ivoire",Cocody,Abidjan,Nissan,Qashqai,2016
Location,7361975,160000000,mercedes benz 63s amg 2020,"Abidjan, Côte d'Ivoire",,Abidjan,Mercedes,Benz,2020
Vente,0,5850000,mazda tribute 2011 ,"Cocody, Abidjan, Côte d'Ivoire",Cocody,Abidjan,Mazda,Mazda,2011
Location,736151,14800000,toyota avalon limited 2020,"Abidjan, Côte d'Ivoire",,Abidjan,Toyota,Avalon limited,2020
Location,375655,6900000,suzuki swift 2023,"Abidjan, Côte d'Ivoire",,Abidjan,Suzuki,Swift,2023
Vente,0,6800000,toyota hilux 2015 ,"Yopougon, Abidjan, Côte d'Ivoire",Yopougon,Abidjan,Toyota,Hilux,2015
Vente,0,8900000,hyundai ix35 2013,"Cocody, Abidjan, Côte d'Ivoire",Cocody,Abidjan,Hyundai,Ix35,2013
Vente,0,35000000,land rover range rover 2019,"Koumassi, Abidjan, Côte d'Ivoire",Koumassi,Abidjan,Range rover,Rover range rover,2019
Vente,0,21000000,mitsubishi pajero 2019,"Koumassi, Abidjan, Côte d'Ivoire",Koumassi,Abidjan,Mitsubishi,Pajero,2019
Location,1653362,34900000,mitsubishi montero 2024,"Koumassi, Abidjan, Côte d'Ivoire",Koumassi,Abidjan,Mitsubishi,Montero,2024
Vente,0,17500000,mercedes-benz glc  300 2019,"Cocody, Abidjan, Côte d'Ivoire",Cocody,Abidjan,Mercedes,Benz,2019
Location,2616206,56000000,bmw m440 x-drive  2023,"Cocody, Abidjan, Côte d'Ivoire",Cocody,Abidjan,Bmw,M440 x-drive,2023
Vente,0,4300000,toyota verso 2005,"Cocody, Abidjan, Côte d'Ivoire",Cocody,Abidjan,Toyota,Verso,2005
Location,1155969,24000000,acura rdx 2022,"Abidjan, Côte d'Ivoire",,Abidjan,Acura,Rdx,2022
Vente,0,4900000,toyota corolla obama 2005,"Abidjan, Côte d'Ivoire",,Abidjan,Toyota,Corolla,2005
Vente,0,16000000,hyundai santa fe 2019,"Yopougon, Abidjan, Côte d'Ivoire",Yopougon,Abidjan,Hyundai,Santa fe,2019
Vente,0,13000000,mitsubishi outlander 2019,"Koumassi, Abidjan, Côte d'Ivoire",Koumassi,Abidjan,Mitsubishi,Outlander,2019
Vente,0,11700000,hyundai elantra 2019,"Yopougon, Abidjan, Côte d'Ivoire",Yopougon,Abidjan,Hyundai,Elantra,2019
Location,2342411,50000000,land rover range rover sport 2020,"Abidjan, Côte d'Ivoire",,Abidjan,Range rover,Rover range rover sport,2020
Vente,0,8800000,suzuki vitara 2019,"Cocody, Abidjan, Côte d'Ivoire",Cocody,Abidjan,Suzuki,Vitara,2019
Location,3026897,65000000,bmw x7 m 2022,"Cocody, Abidjan, Côte d'Ivoire",Cocody,Abidjan,Bmw,X7 m,2022
Location,2570573,55000000,toyota land cruiser vx-r 2024,"Cocody, Abidjan, Côte d'Ivoire",Cocody,Abidjan,Toyota,Land cruiser,2024
Location,3255059,70000000,land rover defender 2023,"Cocody, Abidjan, Côte d'Ivoire",Cocody,Abidjan,Land,Rover defender,2023
Vente,0,1900000,peugeot 206 2003,"Cocody, Abidjan, Côte d'Ivoire",Cocody,Abidjan,Peugeot,206,2003
Vente,0,8700000,honda civic 2018,"Cocody, Abidjan, Côte d'Ivoire",Cocody,Abidjan,Honda,Civic,2018
Vente,0,8800000,mercedes-benz c-class 2014,"Angré, Abidjan, Côte d'Ivoire",Angré,Abidjan,Mercedes,Benz,2014
Location,1105773,22900000,hyundai tucson 2023,"Cocody, Abidjan, Côte d'Ivoire",Cocody,Abidjan,Hyundai,Tucson,2023
Vente,0,25800000,toyota land cruiser 2016,"Cocody, Abidjan, Côte d'Ivoire",Cocody,Abidjan,Toyota,Land cruiser,2016
Vente,0,14800000,hyundai tucson 2019,"Cocody, Abidjan, Côte d'Ivoire",Cocody,Abidjan,Hyundai,Tucson,2019
Vente,0,19700000,toyota land cruiser prado txl 2017 ,"Cocody, Abidjan, Côte d'Ivoire",Cocody,Abidjan,Toyota,Land cruiser,2017
Vente,0,16900000,mitsubishi pajero 2019,"Cocody, Abidjan, Côte d'Ivoire",Cocody,Abidjan,Mitsubishi,Pajero,2019
Location,2707470,58000000,infiniti qx80 2021,"Abidjan, Côte d'Ivoire",,Abidjan,Infiniti,Qx80,2021
Vente,0,15750000,mercedes-benz ml 350 2018,"Cocody, Abidjan, Côte d'Ivoire",Cocody,Abidjan,Mercedes,Benz,2018
Location,1192475,24800000,acura rdx 2021,"Abidjan, Côte d'Ivoire",,Abidjan,Acura,Rdx,2021
Vente,0,8900000,hyundai santa fe 2015,"Cocody, Abidjan, Côte d'Ivoire",Cocody,Abidjan,Hyundai,Santa fe,2015
Location,599253,11800000,hyundai elantra 2021,"Cocody, Abidjan, Côte d'Ivoire",Cocody,Abidjan,Hyundai,Elantra,2021
Vente,0,5000000,peugeot 301 2014,"Cocody, Abidjan, Côte d'Ivoire",Cocody,Abidjan,Peugeot,301,2014
Location,3163794,68000000,bmw x6 x-drive 40i 2021,"Abidjan, Côte d'Ivoire",,Abidjan,Bmw,X6 x-drive 40i,2021
Vente,0,5800000,renault duster 2016,"Yopougon, Abidjan, Côte d'Ivoire",Yopougon,Abidjan,Renault,Duster,2016
Vente,0,3500000,toyota avensis 2004,"Yopougon, Abidjan, Côte d'Ivoire",Yopougon,Abidjan,Toyota,Avensis,2004
Location,1657925,35000000,bmw x3 x-drive 2023,"Abidjan, Côte d'Ivoire",,Abidjan,Bmw,X3 x-drive,2023
Location,918680,18800000,ford maverick 2022,"Cocody, Abidjan, Côte d'Ivoire",Cocody,Abidjan,Ford,Maverick,2022
Location,1178785,24500000,hyundai mufasa 2024,"Abidjan, Côte d'Ivoire",,Abidjan,Hyundai,Mufasa,2024
Vente,0,2800000,toyota corolla 2003,"Yopougon, Abidjan, Côte d'Ivoire",Yopougon,Abidjan,Toyota,Corolla,2003
Vente,0,10900000,kia sorento 2016,"Cocody, Abidjan, Côte d'Ivoire",Cocody,Abidjan,Kia,Sorento,2016
Vente,0,6500000,hyundai elantra 2015,"Cocody, Abidjan, Côte d'Ivoire",Cocody,Abidjan,Hyundai,Elantra,2015
Location,831979,16900000,kia sportage 2020,"Cocody, Abidjan, Côte d'Ivoire",Cocody,Abidjan,Kia,Sportage,2020
Vente,0,7000000,hyundai accent 2017,"Cocody, Abidjan, Côte d'Ivoire",Cocody,Abidjan,Hyundai,Accent,2017
Vente,0,9000000,mercedes-benz c300 2013,"Cocody, Abidjan, Côte d'Ivoire",Cocody,Abidjan,Mercedes,Benz,2013
Location,544494,10600000,suzuki vitara 2021,"Cocody, Abidjan, Côte d'Ivoire",Cocody,Abidjan,Suzuki,Vitara,2021
Location,512552,9900000,nissan kicks 2020,"Cocody, Abidjan, Côte d'Ivoire",Cocody,Abidjan,Nissan,Kicks,2020
Location,1977352,42000000,porsche macan 2021,"Abidjan, Côte d'Ivoire",,Abidjan,Porsche,Macan,2021
Vente,0,4500000,kia optima 2013 ,"Cocody, Abidjan, Côte d'Ivoire",Cocody,Abidjan,Kia,Optima,2013
Vente,0,7900000,toyota rav4 2010,"Cocody, Abidjan, Côte d'Ivoire",Cocody,Abidjan,Toyota,Rav4,2010
Vente,0,26500000,maserati merak 2018,"Cocody, Abidjan, Côte d'Ivoire",Cocody,Abidjan,Maserati,Merak,2018
Location,8730948,190000000,land rover range rover 2023,"Abidjan, Côte d'Ivoire",,Abidjan,Range rover,Rover range rover,2023
Location,1224417,25500000,ford explorer limited awd 2022,"Abidjan, Côte d'Ivoire",,Abidjan,Ford,Explorer limited awd,2022
Location,439540,8300000,toyota starlet 2022,"Cocody, Abidjan, Côte d'Ivoire",Cocody,Abidjan,Toyota,Starlet,2022
Vente,0,11900000,honda cr-v 5 2017,"Cocody, Abidjan, Côte d'Ivoire",Cocody,Abidjan,Honda,Cr-v 5,2017
Vente,0,10800000,kia sportage 2017,"Cocody, Abidjan, Côte d'Ivoire",Cocody,Abidjan,Kia,Sportage,2017
Location,1110336,23000000,land rover range rover sport tunning svr 2022,"Cocody, Abidjan, Côte d'Ivoire",Cocody,Abidjan,Range rover,Rover range rover sport tunning svr,2022
Vente,0,7000000,honda crv3 2007,"Cocody, Abidjan, Côte d'Ivoire",Cocody,Abidjan,Honda,Crv3,2007
Vente,0,8800000,mazda cx-3 2018 a1,"Cocody, Abidjan, Côte d'Ivoire",Cocody,Abidjan,Mazda,Mazda,2018
Vente,0,7900000,ford fusion 2017,"Abidjan, Côte d'Ivoire",,Abidjan,Ford,Fusion,2017
Location,1657925,35000000,bmw x4 2020,"Abidjan, Côte d'Ivoire",,Abidjan,Bmw,X4,2020
Location,813726,16500000,kia sorento ex 2020,"Abidjan, Côte d'Ivoire",,Abidjan,Kia,Sorento ex,2020
Location,831979,16900000,mitsubishi eclipse 2022,"Abidjan, Côte d'Ivoire",,Abidjan,Mitsubishi,Eclipse,2022
Vente,0,3800000,peugeot 308 2014 ,"Cocody, Abidjan, Côte d'Ivoire",Cocody,Abidjan,Peugeot,308,2014
